expert,30.5,27.8,30.4,29.3,29.8,27.8,28.4,31,29.375
,5,5,5,5,5,5,5,5,5
,5,5,5,5,5,5,3,5,4.75
,5,5,5,5,5,5,5,5,5
,3,5,3,5,5,5,5,5,4.5
,2.5,2.4,5,2.4,1.8,2.4,2.4,3,2.7375
,5,2.4,5,1.9,5,3,5,5,4.0375
,5,3,2.4,5,3,2.4,3,3,3.35
,,,,,,,,,
mcts_v2,28.5,28,29,25.5,0,0,0,0,27.75
,5,5,5,5,,,,,5
,5,5,5,5,,,,,5
,5,5,5,5,,,,,5
,3,2.5,2.5,3,,,,,2.75
,5,2.5,5,3,,,,,3.875
,2.5,5,5,2,,,,,3.625
,3,3,1.5,2.5,,,,,2.5
,,,,,,,,,
mcts_v3,26,33,28.5,29.8,29.5,28.5,27.5,28.5,28.9125
,5,5,5,5,5,5,5,5,5
,5,5,5,5,5,5,5,3,4.75
,5,5,5,5,5,5,5,5,5
,2.5,5,5,3,1.5,3,2,5,3.375
,3,5,5,5,5,3,5,5,4.5
,3,3,2,1.8,5,5,2.5,2.5,3.1
,2.5,5,1.5,5,3,2.5,3,3,3.1875
,,,,,,,,,
mcts_t2,30.5,29,25.5,33,25.7,32.5,30.5,21.7,28.55
,5,5,5,5,5,5,5,5,5
,5,5,5,5,5,5,5,2.4,4.675
,5,5,5,5,5,5,5,5,5
,5,3,2.5,3,2.3,5,5,3,3.6
,2.5,3,3,5,3,2.5,2.5,2,2.9375
,3,3,2.5,5,3,5,5,1.8,3.5375
,5,5,2.5,5,2.4,5,3,2.5,3.8
,,,,,,,,,
deepq,23,23.2,21.5,22,0,0,0,0,22.425
,5,3,3,5,,,,,4
,5,5,3,2,,,,,3.75
,3,5,5,3,,,,,4
,3,2.5,1.5,2.5,,,,,2.375
,2.5,2.5,3,5,,,,,3.25
,3,2.2,3,1.5,,,,,2.425
,1.5,3,3,3,,,,,2.625
